DP00007	Homo sapiens
DP00013	Homo sapiens
DP00016	Homo sapiens
DP00018	Homo sapiens
DP00023	Homo sapiens
DP00028	Homo sapiens
DP00033	Homo sapiens
DP00040	Homo sapiens
DP00062	Homo sapiens
DP00070	Homo sapiens
DP00073	Homo sapiens
DP00075	Homo sapiens
DP00078	Homo sapiens
DP00085	Homo sapiens
DP00099	Homo sapiens
DP00119	Homo sapiens
DP00123	Homo sapiens
DP00130	Homo sapiens
DP00134	Homo sapiens
DP00138	Homo sapiens
DP00141	Homo sapiens
DP00156	Homo sapiens
DP00162	Homo sapiens
DP00168	Homo sapiens
DP00173	Homo sapiens
DP00177	Homo sapiens
DP00196	Homo sapiens
DP00200	Homo sapiens
DP00223	Homo sapiens
DP00229	Homo sapiens
DP00230	Homo sapiens
DP00231	Homo sapiens
DP00238	Homo sapiens
DP00240	Homo sapiens
DP00241	Homo sapiens
DP00260	Homo sapiens
DP00262	Homo sapiens
DP00282	Homo sapiens
DP00287	Homo sapiens
DP00304	Homo sapiens
DP00308	Homo sapiens
DP00309	Homo sapiens
DP00311	Homo sapiens
DP00314	Homo sapiens
DP00319	Homo sapiens
DP00321	Homo sapiens
DP00322	Homo sapiens
DP00323	Homo sapiens
DP00324	Homo sapiens
DP00332	Homo sapiens
DP00333	Homo sapiens
DP00334	Homo sapiens
DP00339	Homo sapiens
DP00343	Homo sapiens
DP00356	Homo sapiens
DP00358	Homo sapiens
DP00363	Homo sapiens
DP00364	Homo sapiens
DP00372	Homo sapiens
DP00378	Homo sapiens
DP00385	Homo sapiens
DP00393	Homo sapiens
DP00418	Homo sapiens
DP00428	Homo sapiens
DP00437	Homo sapiens
DP00443	Homo sapiens
DP00445	Homo sapiens
DP00448	Homo sapiens
DP00457	Homo sapiens
DP00466	Homo sapiens
DP00468	Homo sapiens
DP00472	Homo sapiens
DP00485	Homo sapiens
DP00486	Homo sapiens
DP00506	Homo sapiens
DP00510	Homo sapiens
DP00517	Homo sapiens
DP00521	Homo sapiens
DP00537	Homo sapiens
DP00549	Homo sapiens
DP00551	Homo sapiens
DP00554	Homo sapiens
DP00555	Homo sapiens
DP00565	Homo sapiens
DP00581	Homo sapiens
DP00592	Homo sapiens
DP00608	Homo sapiens
DP00611	Homo sapiens
DP00616	Homo sapiens
DP00621	Homo sapiens
DP00641	Homo sapiens
DP00652	Homo sapiens
DP00666	Homo sapiens
DP00670	Homo sapiens
DP00672	Homo sapiens
DP00678	Homo sapiens
DP00683	Homo sapiens
DP00694	Homo sapiens
DP00696	Homo sapiens
DP00706	Homo sapiens
DP00709	Homo sapiens
DP00718	Homo sapiens
DP00736	Homo sapiens
DP00747	Homo sapiens
DP00748	Homo sapiens
DP00775	Homo sapiens
DP00793	Homo sapiens
DP00794	Homo sapiens
DP00796	Homo sapiens
DP00839	Homo sapiens
DP00841	Homo sapiens
DP00846	Homo sapiens
DP00864	Homo sapiens
DP00865	Homo sapiens
DP00887	Homo sapiens
DP00907	Homo sapiens
DP00912	Homo sapiens
DP00917	Homo sapiens
DP00926	Homo sapiens
DP00930	Homo sapiens
DP00934	Homo sapiens
DP00937	Homo sapiens
DP00949	Homo sapiens
DP00951	Homo sapiens
DP00959	Homo sapiens
DP00969	Homo sapiens
DP01023	Homo sapiens
DP01024	Homo sapiens
DP01054	Homo sapiens
DP01063	Homo sapiens
DP01068	Homo sapiens
DP01070	Homo sapiens
DP01097	Homo sapiens
DP01098	Homo sapiens
DP01099	Homo sapiens
DP01100	Homo sapiens
DP01102	Homo sapiens
DP01103	Homo sapiens
DP01106	Homo sapiens
DP01108	Homo sapiens
DP01110	Homo sapiens
DP01111	Homo sapiens
DP01114	Homo sapiens
DP01115	Homo sapiens
DP01116	Homo sapiens
DP01117	Homo sapiens
DP01118	Homo sapiens
DP01123	Homo sapiens
DP01124	Homo sapiens
DP01128	Homo sapiens
DP01131	Homo sapiens
DP01132	Homo sapiens
DP01133	Homo sapiens
DP01134	Homo sapiens
DP01137	Homo sapiens
DP01149	Homo sapiens
DP01156	Homo sapiens
DP01158	Homo sapiens
DP01159	Homo sapiens
DP01161	Homo sapiens
DP01162	Homo sapiens
DP01163	Homo sapiens
DP01165	Homo sapiens
DP01170	Homo sapiens
DP01171	Homo sapiens
DP01172	Homo sapiens
DP01173	Homo sapiens
DP01174	Homo sapiens
DP01203	Homo sapiens
DP01206	Homo sapiens
DP01224	Homo sapiens
DP01228	Homo sapiens
DP01236	Homo sapiens
DP01239	Homo sapiens
DP01244	Homo sapiens
DP01248	Homo sapiens
DP01253	Homo sapiens
DP01259	Homo sapiens
DP01262	Homo sapiens
DP01269	Homo sapiens
DP01271	Homo sapiens
DP01278	Homo sapiens
DP01279	Homo sapiens
DP01280	Homo sapiens
DP01284	Homo sapiens
DP01288	Homo sapiens
DP01292	Homo sapiens
DP01303	Homo sapiens
DP01306	Homo sapiens
DP01310	Homo sapiens
DP01311	Homo sapiens
DP01312	Homo sapiens
DP01317	Homo sapiens
DP01324	Homo sapiens
DP01326	Homo sapiens
DP01333	Homo sapiens
DP01347	Homo sapiens
DP01361	Homo sapiens
DP01364	Homo sapiens
DP01396	Homo sapiens
DP01400	Homo sapiens
DP01404	Homo sapiens
DP01425	Homo sapiens
DP01426	Homo sapiens
DP01434	Homo sapiens
DP01435	Homo sapiens
DP01441	Homo sapiens
DP01445	Homo sapiens
DP01446	Homo sapiens
DP01447	Homo sapiens
DP01450	Homo sapiens
DP01451	Homo sapiens
DP01453	Homo sapiens
DP01454	Homo sapiens
DP01455	Homo sapiens
DP01456	Homo sapiens
DP01473	Homo sapiens
DP01480	Homo sapiens
DP01484	Homo sapiens
DP01486	Homo sapiens
DP01487	Homo sapiens
DP01489	Homo sapiens
DP01491	Homo sapiens
DP01493	Homo sapiens
DP01506	Homo sapiens
DP01507	Homo sapiens
DP01524	Homo sapiens
DP01526	Homo sapiens
DP01533	Homo sapiens
DP01537	Homo sapiens
DP01551	Homo sapiens
DP01556	Homo sapiens
DP01560	Homo sapiens
DP01561	Homo sapiens
DP01564	Homo sapiens
DP01580	Homo sapiens
DP01588	Homo sapiens
DP01590	Homo sapiens
DP01598	Homo sapiens
DP01602	Homo sapiens
DP01603	Homo sapiens
DP01608	Homo sapiens
DP01619	Homo sapiens
DP01622	Homo sapiens
DP01637	Homo sapiens
DP01640	Homo sapiens
DP01641	Homo sapiens
DP01643	Homo sapiens
DP01644	Homo sapiens
DP01646	Homo sapiens
DP01654	Homo sapiens
DP01662	Homo sapiens
DP01668	Homo sapiens
DP01677	Homo sapiens
DP01700	Homo sapiens
DP01701	Homo sapiens
DP01704	Homo sapiens
DP01705	Homo sapiens
DP01720	Homo sapiens
DP01736	Homo sapiens
DP01738	Homo sapiens
DP01748	Homo sapiens
DP01750	Homo sapiens
DP01757	Homo sapiens
DP01760	Homo sapiens
DP01768	Homo sapiens
DP01772	Homo sapiens
DP01773	Homo sapiens
DP01781	Homo sapiens
DP01782	Homo sapiens
