DP00004	134	170
DP00028	51	67
DP00028	109	118
DP00074	1	184
DP00074	287	305
DP00092	373	468
DP00134	527	542
DP00166	167	210
DP00175	13	25
DP00175	40	50
DP00177	945	961
DP00356	220	269
DP00357	1	44
DP00358	123	160
DP00428	489	506
DP00448	1104	1164
DP00464	273	284
DP00464	297	306
DP00466	23	124
DP00473	490	593
DP00485	9	24
DP00486	198	217
DP00486	608	640
DP00492	142	485
DP00521	1	202
DP00539	165	310
DP00543	25	63
DP00546	1	129
DP00608	59	129
DP00621	193	305
DP00624	116	168
DP00628	248	286
DP00718	112	174
DP00718	279	298
DP00718	443	452
DP00775	130	150
DP00775	506	586
DP00816	9	164
DP00907	48	80
DP00961	786	816
DP00962	720	750
DP01070	490	568
DP01108	263	414
DP01115	17	46
DP01119	19	44
DP01119	772	781
DP01149	98	132
DP01162	480	575
DP01171	201	268
DP01172	2	101
DP01172	407	503
DP01192	305	377
DP01241	680	815
DP01308	238	260
DP01311	50	78
DP01311	99	109
DP01311	159	170
DP01319	457	467
DP01324	1384	1399
DP01400	38	49
DP01427	200	301
DP01463	5	23
DP01463	36	69
DP01489	2	220
DP01491	346	379
DP01533	61	72
DP01580	69	86
DP01580	97	114
DP01588	301	322
DP01590	130	218
DP01633	378	393
DP01640	23	36
DP01748	784	798
DP01750	12	39
DP01760	38	48
DP01848	735	769
DP01877	445	455
DP01893	98	108
DP01967	102	112
DP01990	104	120
DP02000	242	358
DP02013	76	85
DP02015	41	70
DP02167	1	14
DP02327	233	270
DP02346	2	45
DP02348	329	358
DP02382	1	70
DP02398	178	202
DP02452	152	209
DP02539	69	86
DP02540	55	79
DP02546	153	170
DP02699	148	164
DP02770	106	119
DP02781	1013	1029
DP02815	34	56
DP02829	1048	1123
DP02852	179	188
DP02858	857	867
DP02858	870	879
DP02930	1	18
DP02953	1629	1638
DP02953	1680	1696
DP03166	385	401
DP03190	176	185
DP03195	1167	1179
DP03281	131	146
DP03351	187	196
DP03417	23	89
DP03487	384	404
DP03635	63	110
DP03670	94	121
DP03670	142	228
DP03713	1	22
DP03822	454	477
DP03885	1	23
DP03885	403	419
DP03885	489	510
DP03885	537	553
DP03946	831	846
DP03963	517	545
DP04078	131	140
DP04078	296	308
DP00008	1	65
DP00111	244	301
DP00159	784	884
DP00348	2059	2118
DP00397	275	285
DP00446	186	197
DP00462	353	390
DP00653	799	814
DP00767	302	319
DP00767	361	370
DP00815	1	206
DP00968	1	98
DP01105	606	672
DP01281	16	42
DP01304	47	120
DP01323	366	376
DP01498	47	117
DP01794	128	161
DP02001	244	263
DP02296	26	47
DP02296	51	62
DP02342	34	57
DP02412	79	89
DP02613	554	563
DP00474	506	681
DP00534	1	131
DP00610	1	455
DP00662	339	462
DP00724	11	113
DP01057	41	139
DP01299	1	97
DP01467	1732	1811
DP02209	255	272
DP02962	32	44
DP03136	254	274
DP01313	163	223
DP01436	423	487
DP01437	115	180
DP03049	118	192
DP03320	359	380
DP00328	310	335
DP00207	816	850
DP00252	54	74
DP00299	16	29
DP00301	9	24
DP00301	63	72
DP00301	116	132
DP00427	401	413
DP00427	541	557
DP00626	1	139
DP01050	75	102
DP01169	1	105
DP01291	48	82
DP01339	26	98
DP01488	1	83
DP02541	9	55
DP02548	22	110
DP02750	472	488
DP02760	19	34
DP02863	275	323
DP00068	2	83
DP00071	1	156
DP00279	35	49
DP00279	57	68
DP00279	84	99
DP01499	115	192
DP01555	4	91
DP03347	11	32
DP03347	343	354
DP00082	35	49
DP00082	393	490
DP00083	117	127
DP00113	1	93
DP00179	2	32
DP00423	166	258
DP00487	1	41
DP00618	79	92
DP00625	80	195
DP00705	1	109
DP00995	28	50
DP01135	1	153
DP01185	95	111
DP01187	57	68
DP01195	299	351
DP01243	93	111
DP01502	1	91
DP01503	192	265
DP01584	300	322
DP01584	565	650
DP01629	347	395
DP02097	402	413
DP02295	599	627
DP02519	182	403
DP02768	83	113
DP02768	147	156
DP02768	538	548
DP02917	100	110
