DP00004	134	170
DP00007	1	43
DP00011	64	77
DP00011	216	261
DP00016	1	164
DP00017	1	316
DP00018	1	198
DP00028	1	118
DP00054	1	33
DP00054	304	342
DP00054	373	390
DP00062	1	130
DP00062	169	189
DP00069	40	67
DP00073	1	27
DP00073	107	128
DP00075	1	214
DP00075	628	719
DP00079	1	103
DP00084	1	14
DP00086	1	93
DP00086	291	312
DP00086	361	393
DP00092	1	13
DP00092	373	468
DP00092	487	521
DP00119	17	310
DP00123	396	433
DP00134	281	422
DP00134	444	632
DP00141	766	823
DP00153	170	189
DP00162	34	60
DP00173	1	100
DP00196	137	277
DP00214	1	314
DP00219	1	126
DP00223	1	78
DP00230	361	435
DP00231	1	200
DP00231	355	379
DP00236	134	304
DP00238	100	1649
DP00262	403	698
DP00262	776	826
DP00287	1	213
DP00307	1	10
DP00307	288	323
DP00308	1	10
DP00309	985	1012
DP00311	217	229
DP00315	280	292
DP00315	344	358
DP00320	355	370
DP00322	14	31
DP00324	92	102
DP00324	182	196
DP00324	342	357
DP00327	31	42
DP00327	223	233
DP00327	303	318
DP00332	1	317
DP00333	18	417
DP00339	179	194
DP00343	1018	1088
DP00357	1	44
DP00358	123	160
DP00364	171	181
DP00392	1	26
DP00392	527	537
DP00392	671	684
DP00393	1	37
DP00393	121	156
DP00420	1	600
DP00420	776	854
DP00428	489	506
DP00448	1104	1164
DP00466	23	124
DP00468	1	66
DP00468	276	317
DP00485	1	24
DP00485	176	208
DP00485	222	235
DP00485	270	294
DP00486	198	239
DP00486	291	304
DP00486	549	640
DP00492	142	485
DP00506	1	32
DP00506	153	207
DP00517	836	931
DP00520	1	217
DP00521	1	202
DP00537	1	119
DP00539	1	75
DP00539	165	330
DP00539	335	486
DP00543	1	63
DP00546	1	129
DP00549	1	35
DP00549	78	116
DP00554	31	50
DP00555	1	134
DP00558	1	54
DP00558	368	379
DP00565	1	14
DP00565	158	169
DP00570	1	144
DP00581	1	10
DP00581	187	203
DP00607	61	74
DP00607	81	92
DP00608	59	129
DP00611	436	455
DP00621	193	305
DP00630	1	127
DP00633	1	1045
DP00633	1520	1581
DP00633	1665	2414
DP00641	1	31
DP00652	69	78
DP00652	127	142
DP00670	175	184
DP00672	90	150
DP00683	1	113
DP00694	1	228
DP00704	1	16
DP00704	105	118
DP00706	60	171
DP00709	1	66
DP00709	102	126
DP00716	567	664
DP00718	9	211
DP00718	238	298
DP00718	443	477
DP00736	1	22
DP00736	818	838
DP00747	56	123
DP00748	192	223
DP00748	238	293
DP00757	94	109
DP00793	63	115
DP00796	24	45
DP00796	72	91
DP00796	107	129
DP00816	9	164
DP00841	30	100
DP00846	45	60
DP00846	170	179
DP00864	28	37
DP00864	71	81
DP00864	110	211
DP00865	1	10
DP00865	77	92
DP00873	401	507
DP00893	130	238
DP00901	70	91
DP00903	1	27
DP00903	119	144
DP00910	1	28
DP00912	107	142
DP00917	92	103
DP00917	127	141
DP00934	14	33
DP00934	44	76
DP00937	144	225
DP00941	54	64
DP00941	105	114
DP00941	174	187
DP00941	500	509
DP00941	1084	1102
DP00949	430	536
DP00949	757	767
DP00949	1015	1078
DP00949	1105	1227
DP00951	1	238
DP00959	295	500
DP00961	786	838
DP00962	710	750
DP00969	1	30
DP00969	76	92
DP01054	1	67
DP01063	948	966
DP01065	1	236
DP01098	54	68
DP01099	1	10
DP01099	339	350
DP01100	1	441
DP01102	1	507
DP01103	665	791
DP01106	236	598
DP01111	341	386
DP01115	1	605
DP01116	140	160
DP01117	20	42
DP01119	1	137
DP01119	687	781
DP01120	360	373
DP01128	25	93
DP01130	68	78
DP01131	1	56
DP01132	242	266
DP01133	216	302
DP01134	106	236
DP01156	1	22
DP01156	98	194
DP01157	1	27
DP01157	98	130
DP01158	1	38
DP01161	169	194
DP01163	1	40
DP01171	201	268
DP01172	2	101
DP01172	407	503
DP01173	20	138
DP01203	513	631
DP01224	739	753
DP01228	1	101
DP01240	1	25
DP01240	558	597
DP01241	680	815
DP01244	128	145
DP01244	395	406
DP01244	840	850
DP01248	1	150
DP01249	1	34
DP01249	304	325
DP01252	240	261
DP01262	1	216
DP01262	437	677
DP01268	314	335
DP01269	176	200
DP01269	217	226
DP01269	234	252
DP01271	252	268
DP01277	938	964
DP01278	558	568
DP01279	226	246
DP01279	508	518
DP01282	90	110
DP01282	409	425
DP01283	184	199
DP01284	1773	1970
DP01293	1	120
DP01303	1	60
DP01306	61	172
DP01308	1	265
DP01309	87	98
DP01309	259	273
DP01309	328	372
DP01310	1	85
DP01311	1	21
DP01311	50	78
DP01311	99	109
DP01311	159	170
DP01311	177	193
DP01312	279	360
DP01329	94	136
DP01333	118	128
DP01335	250	260
DP01337	136	145
DP01342	1	43
DP01347	119	188
DP01364	33	44
DP01364	123	144
DP01364	170	198
DP01396	163	175
DP01396	354	393
DP01400	1	86
DP01420	1	25
DP01420	112	126
DP01420	343	378
DP01425	1	111
DP01427	200	301
DP01447	1	22
DP01447	255	292
DP01449	1	25
DP01449	69	95
DP01450	1	374
DP01450	421	447
DP01451	96	118
DP01453	26	85
DP01455	1	51
DP01456	38	152
DP01457	319	371
DP01458	1	20
DP01458	100	125
DP01463	1	900
DP01473	20	130
DP01486	166	226
DP01487	181	229
DP01490	553	685
DP01506	208	222
DP01507	504	524
DP01508	683	735
DP01517	1	28
DP01517	64	86
DP01517	135	146
DP01520	1	75
DP01524	1	41
DP01524	68	87
DP01524	109	124
DP01524	133	145
DP01531	276	376
DP01534	1117	1319
DP01537	74	83
DP01537	503	610
DP01544	1	330
DP01551	97	108
DP01552	38	52
DP01556	4	246
DP01560	55	91
DP01564	362	390
DP01580	69	86
DP01580	97	114
DP01590	130	218
DP01597	204	283
DP01598	133	145
DP01601	143	184
DP01601	409	425
DP01601	431	454
DP01603	59	81
DP01619	56	70
DP01620	181	200
DP01622	1	21
DP01622	86	114
DP01626	815	940
DP01633	378	393
DP01637	27	146
DP01640	1	90
DP01641	107	120
DP01641	196	248
DP01643	1	10
DP01643	60	76
DP01647	479	518
DP01648	1	10
DP01648	133	144
DP01651	165	181
DP01651	286	301
DP01651	490	501
DP01651	646	678
DP01654	46	63
DP01654	80	114
DP01654	301	320
DP01654	369	427
DP01662	1	12
DP01662	43	106
DP01668	1	52
DP01668	344	355
DP01675	466	479
DP01701	1005	1020
DP01705	136	156
DP01705	365	378
DP01705	390	419
DP01720	129	158
DP01724	391	400
DP01724	416	425
DP01724	435	458
DP01724	538	559
DP01730	1	35
DP01730	96	105
DP01730	523	839
DP01738	18	28
DP01738	80	91
DP01741	32	70
DP01741	161	178
DP01741	199	211
DP01747	97	182
DP01750	1	39
DP01757	197	341
DP01764	169	194
DP01765	587	725
DP01768	15	35
DP01771	95	136
DP01773	241	254
DP01773	345	356
DP01781	85	283
DP01784	142	224
DP01788	82	96
DP01788	182	204
DP01790	1184	1198
DP01795	143	204
DP01804	1	60
DP01805	1	182
DP01805	278	297
DP01807	42	53
DP01807	102	122
DP01835	54	76
DP01841	989	1039
DP01842	741	788
DP01845	1	12
DP01848	735	769
DP01855	1	200
DP01855	210	1016
DP01855	1055	1094
DP01855	1155	1187
DP01857	99	207
DP01863	1	462
DP01869	48	284
DP01874	72	91
DP01874	288	348
DP01878	924	946
DP01880	624	829
DP01884	242	271
DP01898	333	349
DP01914	275	290
DP01938	1	24
DP01938	634	654
DP01942	1	236
DP01950	1	36
DP01967	102	112
DP01972	37	68
DP01985	333	416
DP01987	200	224
DP01990	104	120
DP02000	242	358
DP02003	101	160
DP02004	674	1080
DP02004	1852	2057
DP02005	1	185
DP02007	1265	1521
DP02009	1	195
DP02010	1	127
DP02013	76	85
DP02015	41	70
DP02027	49	85
DP02027	614	631
DP02034	1	25
DP02075	22	168
DP02078	1	171
DP02096	1	13
DP02100	95	109
DP02123	1	730
DP02123	881	1111
DP02123	1161	1193
DP02142	1244	1273
DP02148	59	84
DP02150	248	279
DP02160	148	181
DP02162	22	162
DP02164	1	70
DP02164	252	269
DP02164	478	514
DP02170	137	168
DP02170	195	215
DP02170	249	286
DP02171	1	33
DP02171	184	437
DP02191	1	40
DP02210	1	129
DP02231	134	144
DP02233	377	482
DP02234	359	386
DP02251	416	447
DP02253	203	258
DP02262	783	814
DP02267	1	24
DP02269	1	43
DP02269	150	192
DP02269	252	272
DP02290	284	295
DP02292	400	480
DP02294	1	18
DP02301	39	48
DP02302	69	81
DP02303	259	274
DP02316	451	620
DP02327	1	12
DP02327	119	190
DP02327	233	270
DP02328	206	231
DP02332	1	257
DP02332	338	351
DP02332	791	820
DP02333	44	90
DP02345	323	354
DP02349	738	760
DP02360	74	83
DP02361	357	376
DP02368	299	313
DP02381	618	669
DP02383	2	79
DP02386	156	513
DP02393	323	339
DP02398	161	216
DP02398	290	754
DP02398	992	1599
DP02399	1	35
DP02404	136	153
DP02405	94	111
